metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Asparagine,HP_TR,4,-0.0048551369181917756,5.660844889734199e-4,-0.11659495880586819,-0.004289052429218356,-0.005421221407165195
Asparagine,HP_TR,24,-0.002908965419637501,3.422200609935962e-4,-0.11764322074211586,-0.0025667453586439046,-0.003251185480631097
Asparagine,HP_TR,48,-0.002123272366250005,1.8082910215623437e-4,-0.08516528780318644,-0.0019424432640937706,-0.0023041014684062394
Asparagine,HP_TR,72,-0.0017448516235388785,1.187214541590369e-4,-0.06804100277492253,-0.0016261301693798415,-0.0018635730776979155
Asparagine,HP_MO,4,-0.007398601250588969,9.451589407511274e-4,-0.1277483281959394,-0.006453442309837841,-0.008343760191340097
Asparagine,HP_MO,24,-0.0036061421327228936,3.830841146084578e-4,-0.10623100823793712,-0.0032230580181144357,-0.003989226247331352
Asparagine,HP_MO,48,-0.00238358634709487,1.7690770037633664e-4,-0.07421912807646044,-0.002206678646718533,-0.0025604940474712066
Asparagine,HP_MO,72,-0.0018408276186472896,1.0775698768194143e-4,-0.05853725063139013,-0.001733070630965348,-0.0019485846063292311
Asparagine,LP_TR,4,-0.004402620950838974,6.328075443784103e-4,-0.14373427815942705,-0.0037698134064605635,-0.005035428495217384
Asparagine,LP_TR,24,-0.0026575226375612133,3.803675295002932e-4,-0.14312861313924813,-0.00227715510806092,-0.0030378901670615067
Asparagine,LP_TR,48,-0.0018691574070070793,2.0833588125145557e-4,-0.11145978421637902,-0.0016608215257556238,-0.002077493288258535
Asparagine,LP_TR,72,-0.0014845464744325338,1.295527068712068e-4,-0.08726753193814842,-0.001354993767561327,-0.0016140991813037406
Asparagine,LP_MO,4,-0.003115754289868582,8.498232780887065e-4,-0.27275041579885007,-0.0022659310117798754,-0.0039655775679572885
Asparagine,LP_MO,24,-0.001989746399244276,4.245345120516605e-4,-0.21336111587532094,-0.0015652118871926153,-0.0024142809112959363
Asparagine,LP_MO,48,-0.0016014632946712904,2.2816867663356014e-4,-0.14247512096766043,-0.0013732946180377303,-0.0018296319713048505
Asparagine,LP_MO,72,-0.0013768268630943534,1.6751637220642493e-4,-0.12166843682141688,-0.0012093104908879285,-0.0015443432353007783
Aspartic acid,HP_TR,4,-0.003617346939622188,3.6490994374627277e-4,-0.10087778414320016,-0.003252436995875915,-0.003982256883368461
Aspartic acid,HP_TR,24,-0.0017371269873669383,1.8001639977682633e-4,-0.1036288084210167,-0.001557110587590112,-0.0019171433871437646
Aspartic acid,HP_TR,48,-9.72263334952064e-4,6.78409356902888e-5,-0.06977629748182738,-9.044223992617752e-4,-0.0010401042706423527
Aspartic acid,HP_TR,72,-6.126633407099139e-4,3.5346348301115024e-5,-0.05769293827856259,-5.773169924087988e-4,-6.48009689011029e-4
Aspartic acid,HP_MO,4,-0.0040456308866604574,4.416376409297343e-4,-0.10916409660256782,-0.0036039932457307233,-0.004487268527590192
Aspartic acid,HP_MO,24,-0.0016292864999374475,1.445041587917123e-4,-0.08869168117286935,-0.0014847823411457352,-0.00177379065872916
Aspartic acid,HP_MO,48,-8.564994516200806e-4,4.98189848000894e-5,-0.05816581050443886,-8.066804668199911e-4,-9.0631843642017e-4
Aspartic acid,HP_MO,72,-5.260789233949407e-4,2.7426868803303007e-5,-0.05213451363211707,-4.986520545916377e-4,-5.535057921982438e-4
Aspartic acid,LP_TR,4,-0.011329536289766304,0.0014356251236838837,-0.1267152588566797,-0.00989391116608242,-0.012765161413450188
Aspartic acid,LP_TR,24,-9.05691461463209e-4,1.8029751409043523e-4,-0.19907167259714667,-7.253939473727738e-4,-0.0010859889755536443
Aspartic acid,LP_TR,48,-5.6305670044141485e-5,2.3632241343453736e-5,-0.4197133490273176,-3.2673428700687746e-5,-7.993791138759523e-5
Aspartic acid,LP_TR,72,-3.952783309053966e-6,2.629699126837559e-6,-0.6652778362057328,-1.3230841822164073e-6,-6.582482435891525e-6
Aspartic acid,LP_MO,4,-0.013394506399520887,0.0031349309580346973,-0.23404602338663497,-0.01025957544148619,-0.016529437357555583
Aspartic acid,LP_MO,24,-5.355413764787226e-4,1.4356602072181188e-4,-0.2680764307433785,-3.919753557569107e-4,-6.791073972005345e-4
Aspartic acid,LP_MO,48,-1.550495253030925e-5,7.807754914089155e-6,-0.5035652252934326,-7.697197616220094e-6,-2.3312707444398404e-5
Aspartic acid,LP_MO,72,-4.79502561405456e-7,3.777450851227975e-7,-0.78778533323284,-1.0175747628265853e-7,-8.572476465282535e-7
Glucose,HP_TR,4,-0.09592206412714704,0.018614093180773707,-0.1940543434939043,-0.07730797094637334,-0.11453615730792074
Glucose,HP_TR,24,-0.025727943320628596,0.0035702648408366513,-0.1387699279473312,-0.022157678479791946,-0.029298208161465247
Glucose,HP_TR,48,-0.007158327975092839,0.0017683697578412447,-0.24703670521862475,-0.005389958217251594,-0.008926697732934084
Glucose,HP_TR,72,-0.002242351856047548,9.616580262692682e-4,-0.42886134202164067,-0.0012806938297782798,-0.0032040098823168162
