Index,hp_tr_4,hp_tr_24,hp_tr_48,hp_tr_72,lp_tr_4,lp_tr_24,lp_tr_48,lp_tr_72,hp_mo_4,hp_mo_24,hp_mo_48,hp_mo_72,lp_mo_4,lp_mo_24,lp_mo_48,lp_mo_72
mu,0.011084769057752146,0.00580503098647455,0.0033533921698639334,0.002327611271245984,0.009920829595808584,0.007249409680006927,0.0031887363323912067,0.001572011147253335,0.01168957165378029,0.005516537171501878,0.003529281979540038,0.0018188009329740448,0.007958246713684305,0.005037725430281341,0.0032350579642042355,0.0018273748642212801
qp_full,2.3576025525382784e-10,9.65569676854925e-10,6.825035868782191e-10,1.225068710921689e-10,2.656084188155579e-10,2.567183233405634e-10,4.885637377646108e-10,9.037581279307119e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qp_empty,3.9069332069667087e-10,5.853709545508135e-10,4.490683904950174e-10,8.246906676672077e-10,3.8433788289564417e-10,8.71187477040345e-10,9.740597520665993e-11,3.1638995473682327e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,
